Address,Zip,Phone,zip_final
4003 CREEKSIDE LOOP,989083962,5092483263,98908
2211 LOMAS BLVD NE,871062745,5052722111,87106
80 SEYMOUR ST,61028000,NA,61028
716 W BROADWAY,402022216,5025957311,40202
9720 PARK PLAZA AVE,402412289,5024259148,40241
1850 STATE ST,471504990,8129497964,47150
6308 8TH AVE,531435031,2626535300,53143
9555 76TH ST,531581984,2625778300,53158
341 PONCE DE LEON NEAVE,303082012,4046162440,30308
975 SERENO DR,945892441,7076511000,94589
1 QUALITY DR,956889494,7076244000,95688
729 GROVE AVE,189666008,2153559634,18966
218 SUNSET RD,80461110,2153559634,80461
11511 NE 10TH ST,980048578,4255023000,98004
200 15TH AVE E,981125260,2063263000,98112
200 HAWTHORNE LN,282042515,7043845416,28204
111 BROADWAY,100061995,2122639701,10006
530 1ST AVE,100166402,2122637300,10016
550 1ST AVE,100166402,2122637300,10016
8714 5TH AVE,112095204,7186308600,11209
150 55TH ST,112202508,7186307000,11220
301 E 17TH ST,100033804,2125982454,10003
150 55TH ST,112202508,7186307942,11220
1900 MALVERN AVE,719017778,5016204436,71901
7250 CLEARVISTA DR,462564686,3176211690,46256
11234 ANDERSON ST,923542804,NA,92354
11370 ANDERSON ST,923543450,NA,92354
1 SAINT VINCENT CIR,722055406,5016610037,72205
701 W 5TH ST,797634206,4323352222,79763
534 PROSPECT ST,27205281,5089737766,27205
101 PAGE ST,27403464,5089735919,27403
191 BEDFORD ST,27203050,5082355445,27203
277 PLEASANT ST,27213005,NA,27213
289 PLEASANT ST,27213005,NA,27213
67 SLADE'S FERRY BOULEVARD,27261220,5086763292,27261
39 FAUNCE CORNER RD,27474202,5089963311,27474
831 MAIN RD,27904315,5086360613,27904
14 PROSPECT ST,17573003,5084222305,17573
211 PARK ST,27033143,5082367901,27033
275 COLLIER RD,303091748,4043553161,30309
1025 MARSH ST,560014752,5076254031,56001
200 1ST ST SW,559050001,5072842511,55905
2923 N CALIFORNIA AVE,606187702,8882206432,60618
550 S JACKSON ST,402021622,5028525866,40202
40 DUKE MEDICINE CIR,277104000,9196848111,27710
140 BERGEN ST,71032425,9739729000,71032
90 BERGEN ST,71032425,9739725004,71032
2700 ROGERS DR,352092056,8774483627,35209
1102 MONROE ST SW,358015029,2564697200,35801
2314 SASSAFRAS ST,165022721,8144566194,16502
676 N ST CLAIR,606112927,3129266146,60611
25 ROCKWOOD PL,76314958,2015683335,76314
7230 MEDICAL CTR DR,913074007,8182266811,91307
1144 N RD ST,279093473,2523350531,27909
2100 STANTONSBURG RD,278342818,2522093000,27834
600 MOYE BLVD,278344300,NA,27834
2100 STANTONSBURG RD,278342818,2528471757,27834
2000 NEUSE BLVD,285603449,2526338817,28560
2000 SW ARCHER RD 4TH FLOOR,326081136,NA,32608
2000 SW ARCHER RD,326081136,NA,32608
2000 SW ARCHER RD RM,326081136,3522658200,32608
2545 SCHOENERSVILLE RD,180177300,NA,18017
3701 CORRIERE RD,180457991,NA,18045
5649 WYNNEWOOD DR,180591124,NA,18059
1200 S CEDAR CREST BLVD,181036202,NA,18103
1200 S CEDAR CREST BLVD FL,181036202,6104028510,18103
1200 S CEDAR CREST BLVD 3RD FL KASYCH PAVILLION,181036202,6104028355,18103
1250 S CEDAR CREST BLVD,181036224,NA,18103
MEDICAL CTR BLVD,271570001,3367162734,27157
1253 E MAIN ST,431300000,7406878805,43130
135 N EWING ST,431303380,7406896430,43130
4500 SAN PABLO RD S,322241865,9049532000,32224
57 BEDFORD ST,24204574,7818627500,24204
701 PARK AVE,554151623,6128733000,55415
2300 HAGGERTY RD,483232188,NA,48323
1 WILIAM CARLS DR,483822201,NA,48382
1 WILLIAM CARL DR,483822201,NA,48382
2300 HAGGERTY RD,483232185,2486680900,48323
675 N ST CLAIR,606115975,3126958918,60611
621 S NEW BALLAS DR,631418256,3142514949,63141
7764 ARMISTEAD RD,220791918,7033393524,22079
115 LINCOLN ST,17026358,5083831563,17026
100 DELAFIELD RD,152153247,4123480330,15215
9104 BABCOCK BLVD,152375818,4123480330,15237
4100 JOHN R ST,482012013,3137459191,48201
3901 CHRYSLER DR,482012167,3137454525,48201
26205 HILLSIDE AVE,110041756,NA,11004
26205 HILLSIDE AVE,110041756,NA,11004
327 BEACH 19TH ST,116914423,7188697919,11691
1000 N COOPER ST,760115540,NA,76011
3301 MATLOCK RD,760152908,NA,76015
3600 MATLOCK RD,760153679,NA,76015
1875 FORTUNE RD,347444428,4073432000,34744
15474 N HAGGERTY RD,481704893,7343356103,48170
545 N RIVER ST,187022623,5708226036,18702
389 SERPENTINE DR,293033026,8645606012,29303
101 E WOOD ST,293033040,NA,29303
853 N CHURCH ST,293033070,8645601650,29303
400 OXFORD DR,151466310,4125789747,15146
20 YORK ST,65103220,NA,65103
1450 CHAPEL ST B,65114405,2.04E+13,65114
330 ORCHARD ST,65114417,2036807050,65114
800 HOWARD AVE,65191369,2037852140,65191
31500 TELEGRAPH RD,480254315,2485520620,48025
2859 HWY 45 BYP,383053618,7316641375,38305
2863 HWY 45 BYP,383053618,7316641375,38305
87 MURRAY GUARD DR,383053775,7316641375,38305
4039 S HIGHLAND ST,383583483,7316868995,38358
1600 S ANDREWS AVE,333162510,9547126427,33316
1625 SE 3RD AVE,333162521,9543203322,33316
2055 HOSPITAL DR,451031978,5139248817,45103
1235 OLD YORK RD,190013841,2154816350,19001
1200 OLD YORK RD,190013720,2154812608,19001
10004 KENNERLY RD,631282177,8009756285,63128
14192 METROPOLIS AVE,339124331,2392449560,33912
1700 HOSPITAL S DR,301068116,7707398282,30106
300 PASTEUR DR,943052200,6507234000,94305
877 JEFFERSON AVE,381032807,NA,38103
880 MADISON AVE,381033409,9015456969,38103
890 MADISON AVE,381033409,9015458999,38103
6215 HUMPHREYS BLVD,381202382,9018668085,38120
903 W MARTIN ST,782070903,2103583400,78207
7703 FLOYD CURL DR,782293901,2104509000,78229
4502 MEDICAL DR,782294402,2103584000,78229
1900 S D ST,785031507,9569942000,78503
301 W EXPRESSWAY,785033045,NA,78503
1102 W TRENTON,785394804,9563886000,78539
3108 CTR POINT DR,785394804,9566315200,78539
2302 CORNERSTONE BLVD,785398471,9466184444,78539
5501 S MCCOLL RD,785399152,9563628677,78539
335 E AVE I,935351916,6614714232,93535
4940 VAN NUYS BLVD,914031741,8189862643,91403
14 3RD ST,29062738,4017937272,29062
303 N CLYDE MORRIS BLVD,321142709,NA,32114
1041 DUNLAWTON AVE,321277968,NA,32127
6709 S MINNESOTA AVE,571082593,6053227250,57108
1655 CROOKED OAK DR,176014207,NA,17601
120 WHITE HORSE PIKE,80351938,8565463900,80351
1600 HADDON AVE,81033101,NA,81033
1425 PORTLAND AVE,146213001,NA,14621
40 CROSS ST,68514647,2038454800,68514
210 WESTCHESTER AVE,106042901,9146820700,10604
7777 FOREST LN,752306824,9726615550,75230
300 PASTEUR DR,943052200,6507234000,94305
119 AMBULANCE DR,301173818,7708388710,30117
119 AMBULANCE DR,301173857,7708125605,30117
100 PROFESSIONAL PL,301173872,7708125837,30117
157 CLINIC AVE,301174454,NA,30117
690 DALLAS HWY 104,301801263,7708369326,30180
690 DALLAS HWY 207A,301801263,NA,30180
690 DALLAS HWY,301801263,7704563790,30180
935 S BAXTER AVE,757012245,9035924473,75701
419 W REDWOOD ST,212011734,4103285196,21201
827 LINDEN AVE,212014606,NA,21201
827 LINDEN AVE,212014606,4103287877,21201
1 MEDICAL CTR DR,265061200,3045984865,26506
1250 S CEDAR CREST BLVD,181036253,6104028430,18103
19 FRIENDSHIP ST,28402200,NA,28402
185 HIGH SERVICE AVE,29045114,4013546050,29045
185 A HIGH SERVICE AVE,29045114,4013546050,29045
1 CHILDRENS PL C,631101002,3144542104,63110
6537 PRESTON RD,750242610,9728679131,75024
55 HIGHLAND AVE,19702100,9787411644,19702
777 BANNOCK ST,802044507,3034366000,80204
1249 S CEDAR CREST BLVD,181036200,6107702200,18103
2000 CANAL ST,701123018,5047023000,70112
6701 N CHARLES ST,212046808,4103218580,21204
250 PARK ST,421011760,2707962431,42101
250 PARK ST,421011760,2707966540,42101
350 PARK ST,421011784,NA,42101
15503 VENTURA BLVD,914363114,8184618148,91436
300 1ST AVE,21293109,6179525000,21293
1575 CAMBRIDGE ST,21384308,6178764344,21384
5501 GORDON SMITH DR,750893209,2147038100,75089
8200 WALNUT HILL LN,752314426,2143458441,75231
8230 WALNUT HILL LN,752314469,2146918306,75231
1601 NW 114TH ST,503257046,5152241777,50325
1801 HICKMAN RD,503141597,5152823730,50314
7200 N STATE HWY 161,750393830,2146897806,75039
1145 19TH ST NW,200363735,2024292401,20036
800 BIESTERFIELD RD,600073372,8479813694,60007
2044 MADISON AVE,620404660,6184511500,62040
101 UNITED DR,622347428,6183440248,62234
685 PALM SPRINGS DR,327017853,4078305577,32701
6010 POINTE W BLVD,342095531,9417462711,34209
1500 DIVISION ST,970451527,NA,97045
5050 NE HOYT ST,972132981,5032156480,97213
10150 SE 32ND AVE,972226516,5035138336,97222
1501 N CAMPBELL AVE,857240001,5206940111,85724
15474 N HAGGERTY RD,481704893,7343356103,48170
1854 W AUBURN RD,483093868,2488532323,48309
601 ELMWOOD AVE,146030001,5852755871,14603
47601 GRAND RIVER AVE,483741233,2483442000,48374
700 NE 87 AVE,986644896,3608822778,98664
501 SE 172 AVE,986849542,3608822778,98684
50 E CANFIELD ST,482011804,3137454525,48201
243 CHARLES ST,21143002,6172735699,21143
2665 N DECATUR RD,300336145,4042979755,30033
1800 E FLORENCE BLVD,851225303,5204266300,85122
1900 N HIGLEY RD,852341604,4805432000,85234
12303 NE130TH LN,980343099,4258994600,98034
7035 N MAPLE AVE,937208026,NA,93720
539 CLIFTON AVE,70113229,NA,70113
1001 CLIFTON AVE,70133586,NA,70133
729 GROVE AVE,189666008,2153559634,18966
218 SUNSET RD,80461110,2153559634,80461
2402 WINNEBAGO ST,537045341,6082426865,53704
20 S PARK ST,537151348,6082872076,53715
7102 MINERAL POINT RD,537171706,6088287603,53717
920 E 28TH ST,554071286,6128636900,55407
2800 CHICAGO AVE,554071355,6128636960,55407
559 CAPITOL BLVD,551032101,NA,55103
1700 UNIVERSITY AVE W,551043727,NA,55104
1575 BEAM AVE,551091126,NA,55109
1925 WOODWINDS DR,551252270,NA,55125
333 N SMITH AVE,551022344,6516359173,55102
225 SMITH N AVE,551022592,6512415000,55102
2215 PARK AVE,554043711,NA,55404
4513 N ARMENIA AVE,336032703,NA,33603
2304 WESVILL COURT,276072973,9195711567,27607
7905 CALUMET AVE,463212549,3178658877,46321
11355 W 97TH LN,463739601,2193655577,46373
4650 W SUNSET BLVD,900276062,3233618408,90027
251 E HURON,606112908,NA,60611
250 E SUPERIOR STREET,606112914,3124723660,60611
9080 COLIMA RD,906051600,NA,90605
309 W BEVERLY BLVD,906404308,NA,90640
3303 W 144TH AVE,800239464,3034259245,80023
2025 SOQUEL AVE,950621323,8314234111,95062
725 IRVING AVE,132101685,3154649360,13210
565 ABBOTT RD,142202039,NA,14220
1026 A AVE NE,524025074,3193697211,52402
701 10TH ST SE,524031292,3193986011,52403
4480 UTICA RIDGE RD,527221644,NA,52722
400 W BLACKWELL ST,78012599,9739893725,78012
5841 S MARYLAND AVE,606371447,7737021000,60637
700 CHILDRENS DR,432052664,6147224579,43205
3525 LAKELAND HILLS BLVD,338051965,8636036565,33805
14200 W CELEBRATE LIFE WAY,853383007,6232073000,85338
13657 W MCDOWELL RD,853952602,6233287794,85395
1100 9TH AVE,981012756,2062236600,98101
365 MONTAUK AVE,63204700,8604443735,63204
365 MONTAUK AVE,63204700,8604420711,63204
169 DAVENPORT AVE,65191319,2037891650,65191
41 BREWSTER RD,60105161,8605853000,60105
365 MONTAUK AVE,63204700,NA,63204
300 CRYSTAL RUN RD,109414013,8456926999,10941
155 CRYSTAL RUN RD,109414028,8457036999,10941
855 STATE ROUTE 17M,109501600,8457036999,10950
807 STATE ROUTE 17M,109502625,8457036999,10950
75 RONALD REAGAN BLVD,109904105,8457036999,10990
81 RONALD REAGAN BLVD,109904105,8457036999,10990
1200 ROUTE 300,125505003,8457036999,12550
61 EMERALD PL,127756049,8457946999,12775
56 FRANKLIN ST,67061253,2037096000,67061
100 E LANCASTER AVE,190963435,6108960210,19096
205 N E AVE,492011753,5172051328,49201
2300 SOUTHWOOD DR,30631818,6035774070,30631
399 DANIEL WEBSTER HIGHWY,30542748,6034291611,30542
840 N 87TH ST,532263586,NA,53226
1111 MEDICAL PLAZA DR,773803240,2814441303,77380
1 ROBERT WOOD JOHNSON PL,89011928,7322357060,89011
125 PATERSON ST,89011962,7322357060,89011
5555 W LAS POSITAS BLVD,945884000,9258473000,94588
200 1ST ST SW,559050001,5072842511,55905
375 WAMPANOAG TRL,29152232,4014434983,29152
88 E NEWTON ST,21182308,NA,21182
1 BOSTON MEDICAL CTR PL,21182908,8576541000,21182
1000 BLYTHE BLVD,282035812,NA,28203
2001 VAIL AVE,282071248,NA,28207
4539 HEDGEMORE DR,282093237,7043319669,28209
10628 PARK RD,282108407,7046671000,28210
14214 BALLANTYNE LAKE RD,282773373,NA,28277
1505 N EDGEMONT ST,900275209,3237834011,90027
4725 W SUNSET BLVD,900276021,3237834011,90027
4733 W SUNSET BLVD,900276021,2136674784,90027
333 S HOPE ST,900711406,8009548000,90071
610 S MAPLE AVE,603041091,7083830943,60304
400 REMINGTON BLVD,604404923,6303127865,60440
120 N OAK ST,605213829,6308562050,60521
901 MCCLINTOCK DR,605270872,8882206432,60527
1701 E WOODFIELD RD,601735109,8882206432,60173
400 REMINGTON BLVD,604404923,6303127865,60440
120 N OAK ST,605213829,6308562050,60521
901 MCCLINTOCK DR,605270872,8882206432,60527
4647 ZION AVE,921202507,6195285000,92120
1060 E100 S,841021553,8013201260,84102
1465 S GRAND BLVD,631041003,3142684101,63104
1465 S GRAND,631041003,3145775641,63104
1465 S GRAND BLVD,631041003,3145775641,63104
1155 MILL ST,895021576,7759824000,89502
601 ELMWOOD AVE,146420002,NA,14642
13755 CICERO AVE,604181824,8882206432,60418
100 MERCY WAY,648044524,4175566813,64804
3125 DR RUSSELL SMITH WAY,648367402,4173588121,64836
1313 FISH HATCHERY RD,537151911,6082528000,53715
3289 WOODBURN RD,220036897,7035607900,22003
46531 HARRY BYRD HWY,201643555,7038345800,20164
1331 W GRAND PKWY N,774932735,2815993222,77493
2241 PEGGY LANE,750425709,9724941155,75042
1936 AMELIA CT,752357706,2145905637,75235
4811 HARRY HINES BLVD,752357711,NA,75235
10666 N TORREY PINES RD,920371027,8585549100,92037
10666 N TORREY PINES RD,920371027,8585548122,92037
9888 GENESEE AVE,920371205,8586264123,92037
9896 GENESEE AVE,920371205,8586264123,92037
9898 GENESEE AVE,920371205,8584559100,92037
100 E LANCASTER AVE,190963435,6108960210,19096
1500 E 2ND ST,895021196,7759825000,89502
1155 MILL ST,895021576,7759824000,89502
100 GRAND ST,60522016,NA,60522
61 HART ST,60522016,8602245900,60522
140 GRANDVIEW AVE,67082500,2035744187,67082
AVE PONCE DE LEON PARADA,919,7874226222,919
820 AVE ITURREGUI,924,7877684278,924
717 NW 190TH LANE,981773055,NA,98177
1600 EUREKA RD,956613027,9167844000,95661
1643 EUREKA RD,956613027,9169735300,95661
2025 MORSE AVE,958252115,9169735000,95825
1300 CLEVELAND AVE,374042005,4237567860,37404
4747 US HWY 19,346524945,7274947625,34652
201 KINGWOOD MEDICAL DR,773396016,NA,77339
1212 57TH ST,531404069,4142251568,53140
820 N PLANKINTON AVE,532031802,4142251568,53203
TORRE DE AUXILIO MUTUO,9175024,7877670655,91750
622 W 168TH ST,100323720,2123059460,10032
150 55TH ST,112202508,7186307000,11220
301 E 17TH ST,100033804,2125982454,10003
430 WINDWARD WAY,599012619,4067515364,59901
140 BERGEN ST,71032425,9739729000,71032
801 BROADWAY N,581023641,NA,58102
2400 32ND AVE S,581035800,7012348800,58103
5225 23RD AVE S,581047927,7014172575,58104
1503 LANSDOWNE AVE,190231308,6102375816,19023
255 W SPRING VALLEY AVE,76071444,2012911010,76071
96 PKWY,76624200,2012914075,76624
103 LAKE ST,535319455,6087645487,53531
10 N WATER ST,535361152,6088825170,53536
3200 E RACINE ST,535462343,6083718000,53546
3400 E RACINE ST,535462344,6083738000,53546
1806 W BELTLINE HWY,537132334,NA,53713
1808 W BELTLINE HWY,537132334,6082606004,53713
700 S PARK ST,537151830,6082516100,53715
700 S PARK ST,537151830,6082602900,53715
1313 FISH HATCHERY RD,537151911,6082528000,53715
1821 S STOUGHTON RD,537162257,6082606000,53716
752 N HIGH POINT RD,537172236,6088244000,53717
1341 PARK AVE,539251614,9206232431,53925
3800 PARK NICOLLET BLVD,554162527,9529931000,55416
3811 SPRING ST,534051667,2626878677,53405
2950 CLEVELAND CLINIC BLVD,333313609,9546595000,33331
500 ALA MOANA BLVD,968134920,8085317111,96813
110 E MEDICAL LN,291694817,8039367460,29169
10250 SE167TH PLACE RD,344918682,3523079925,34491
309 REGENCY PKWY,760637305,8175399091,76063
40 E MAIN ST,117068301,6.31E+12,11706
290 N WAYTE LN,937012124,5594432682,93701
2335 E KASHIAN LN,937012211,5593201090,93701
4729 N HABANA AVE,336147113,8132518444,33614
400 N PEPPER AVE,923241801,9095801000,92324
3334 E COAST HWY,926252328,NA,92625
16 TH ST AND 1ST AVE,100033804,2124202000,10003
530 1ST AVE,100166402,2122637300,10016
880 W CENTRAL RD,600052391,8472555030,60005
25 N WINFIELD RD,601901295,6302600600,60190
1012 LUCERNE TERRACE,328061015,4074231039,32806
251 E HURON,606112908,NA,60611
250 E SUPERIOR STREET,606112914,3124723660,60611
1300 JEFFERSON PARK AVE,229033363,4349245125,22903
1215 LEE ST,229080816,NA,22908
1215 LEE ST,229082325,4349248129,22908
1601 NW 114TH ST,503257046,5152241777,50325
11660 ALPHARETTA HWY,300763880,7702551069,30076
6335 HOSPITAL PKWY,300975712,6785516970,30097
1450 E A ST STES 1 AND,826012239,3072348700,82601
1307 FEDERAL ST,152124773,4123593360,15212
13400 E SHEA BLVD,852595404,4803018000,85259
436 HINSDALE RD,130311648,3154880996,13031
627 W GENESEE ST,132042303,3154722430,13204
4900 BROAD RD,132152265,3154925784,13215
15 YORK ST,65103221,2036886445,65103
800 HOWARD AVE,65191369,2037852140,65191
4729 N HABANA AVE,336147113,8132518444,33614
1000 TOWNE CTR BLVD,313224063,9127482280,31322
5353 REYNOLDS ST,314056082,9123554427,31405
1326 EISENHOWER DR,314063928,NA,31406
20 YORK ST,65103220,NA,65103
1450 CHAPEL ST B,65114405,2.04E+13,65114
7800 SW 87 AVE,331733570,3055954590,33173
41 MALL RD,18050001,7817445100,18050
24 MORRILL PL,19133530,9783885050,19133
1581 DODD DR,432101257,6142933800,43210
7804 W COLLEGE DR,604631025,7083615778,60463
214 N ELM AVE,492023504,5177884781,49202
1235 OLD YORK RD,190013841,2154816350,19001
1200 OLD YORK RD,190013720,2154812608,19001
777 TOWNSHIP LINE RD,190675564,2158600775,19067
250 KING OF PRUSSIA RD,190875235,6109022450,19087
800 SPRUCE ST FL 1 PINE W,191076130,2158297817,19107
1140 VARNUM ST NE,200172149,2024484052,20017
1150 VARNUM ST NE,200172149,2024484069,20017
1555 BARRINGTON RD,601691052,8477811790,60169
619 19TH ST S,352331999,2059346405,35233
2322 E 22ND ST,441153100,2163632556,44115
233 COLLEGE AVE,176033372,7172916752,17603
1001 S GEORGE ST,174033645,7178512417,17403
4630 S LABURNUM AVE,232312424,8042227744,23231
35 MEMORIAL DR,283748708,9107155481,28374
101 MANNING DR,275144220,9199666759,27514
1 HOSPITAL DR,18521311,9784581411,18521
275 VARNUM AVE,18542109,9789349220,18542
295 VARNUM AVE,18542134,9789376000,18542
20 PROSPECT ST,17573026,5084782061,17573
450 BROOKLINE AVE,22155418,6176325917,22155
200 HAWTHORNE LN,282042515,7043845416,28204
1900 RANDOLPH RD,282071106,7043846225,28207
20 NE SAINT LUKES BLVD,640866001,8882206432,64086
200 NE 54TH ST,641184338,8882206432,64118
5701 W 119TH ST,662093721,8882206432,66209
1501 SUPERIOR AVE,926633640,9492007921,92663
3800 PARK NICOLLET BLVD,554162527,NA,55416
3850 PARK NICOLLET BLVD,554162527,9529933123,55416
3931 LOUISIANA AVE,554264702,9529931990,55426
6500 EXCELSIOR BLVD,554264702,9529933123,55426
8240 GOLDEN VALLEY RD,554274409,9529938300,55427
6000 EARLE BROWN DR,554302506,9529934900,55430
5320 HYLAND GREENS DR,554373934,9529932400,55437
4650 W SUNSET BLVD,900276062,3233618408,90027
7353 NW 4 ST,333172202,9545846320,33317
300 HALKET ST,152133108,NA,15213
3471 5TH AVE,152133215,NA,15213
1211 WILMINGTON AVE,161052516,NA,16105
2200 MEMORIAL DR,161211357,NA,16121
110 N MAIN ST,161251726,7245896161,16125
100 FAIRFIELD DR,163462130,NA,16346
435 ARDEN AVE,912034018,8185000935,91203
101 BOB WALLACE AVE SW,358013843,NA,35801
1215 7TH ST SE,356013304,2563501862,35601
7703 FLOYD CURL DR,782293901,2104509000,78229
10100 SE SUNNYSIDE RD,970158970,5037868435,97015
10180 SE SUNNYSIDE RD,970158970,5036522880,97015
2070 CLINTON AVE,945014399,5105227058,94501
6001 NORRIS CANYON RD,945835400,9252759200,94583
350 HAWTHORNE AVE,946093108,5106554000,94609
275 COLLIER RD,303091748,4043553161,30309
21601 76TH AVE W,980267507,4256404000,98026
747 BROADWAY,981224379,2063866000,98122
2100 KEYSTONE AVE,190261133,6106228900,19026
6200 W PAKER RD,750938185,NA,75093
5301 MCAULEY DR,481971051,NA,48197
5301 E HURON RIVER DR,481971051,NA,48197
5301 E HURON RVR DR 10TH FL,481971051,7347128676,48197
5325 ELLIOTT DR,481978633,NA,48197
1900 10TH AVE,319013608,NA,31901
18181 OAKWOOD BLVD,481244082,NA,48124
18101 OAKWOOD BLVD,481244089,3134362898,48124
12100 S HURON RIVER DR,481741119,7349411070,48174
9340 TELEGRAPH RD,481803362,3132953388,48180
7300 N CANTON CTR RD,481871579,7343249616,48187
2950 CLEVELAND CLINIC BLVD,333313609,9546595000,33331
1450 E CHESTNUT,83618432,8567948700,83618
804 S 52ND ST,681061802,4025592666,68106
EMILE 42ND ST,681983280,4025599800,68198
1715 N GEORGE MASON DRIVE-SUITE,222053655,7032480006,22205
180 FORT WASHINGTON AVE,100323722,2123050209,10032
27209 LAHSER RD,480348402,2489968730,48034
15474 N HAGGERTY RD,481704893,7343356103,48170
330 1ST CAPITOL DR,63128,6369250900,63128
4050 COON RAPIDS NWBLVD,554332522,NA,55433
4050 COON RAPIDS BLVD NW,554332522,6122621220,55433
4050 COON RAPIDS BLVD NW,554332522,7632369400,55433
9055 SPRINGBROOK NWDR,554335841,7632367090,55433
4500 PARSONS BLVD,113552205,7186705868,11355
1100 WESCOTT DR,88224600,9087886100,88224
1301 SHOREWAY RD,940024110,6505967000,94002
370 DISTEL CIR,940221404,6502545200,94022
701 E EL CAMINO REAL,940402833,6506916174,94040
795 EL CAMINO REAL,943012302,4156001020,94301
2760 SE 17TH ST,344715571,3522451845,34471
235 AVE ARTERIAL HOSTOS,9181453,7872496472,91814
100 BOWMAN DR,80439612,8562473328,80439
90 BRICK RD,80532177,8563556057,80532
175 MADISON AVE,80602038,NA,80602
2160 S 1ST AVE,601533328,7082169000,60153
2780 CLEVELAND AVE,339015857,2393433831,33901
2776 CLEVELAND AVE,339015864,2393432606,33901
1569 MATTHEW DR,339071734,2393438220,33907
1105 E KENNEDY BLVD,336023511,8.13E+13,33602
8515 N MITCHELL AVE,336041658,8.13E+13,33604
1656 CHAMPLIN AVE,135024830,NA,13502
450 CLARKSON AVE,112032098,7188264959,11203
7 ELM ST,60823670,NA,60823
114 WOODLAND ST,61051208,8607144097,61051
100 DELAFIELD RD,152153247,4123480330,15215
9104 BABCOCK BLVD,152375818,4123480330,15237
1400 NW 10TH AVE,331361003,3055855215,33136
1611 NW 12 AVE,331361005,3055856226,33136
2300 SOUTHWOOD DR,30631818,NA,30631
5 WASHINGTON PL,31106736,6036952500,31106
1 MEDICAL CTR DR,37561000,6036505000,37561
ONE MEDICAL CTR DR,37560001,6036505000,37560
111 COLCHESTER AVE,54011473,8028470000,54011
2020 GENESEE AVE,921234219,8584992600,92123
7901 FROST ST,921232701,8589393400,92123
1324 LAKELAND HILL BLVD,338054543,NA,33805
101 HOSPITAL RD,117724870,NA,11772
201 S ALVARADO ST,900572391,2134830901,90057
9001 WILSHIRE BLVD,902111840,3102746671,90211
3901 BEAUBIEN,482012119,3139668999,48201
36923 COOK ST,922116074,NA,92211
1420 STEPHENSON HWY,480831189,2485815200,48083
1560 E MAPLE RD,480831189,2485815200,48083
3901 CHRYSLER DR,482012167,3137454525,48201
3901 WALTER P CHRYSLER SERVICE DR,482012167,3139933434,48201
3340 PADDOCK PKWY,300249119,6786796210,30024
3350 PADDOCK PKWY,300249119,6784749633,30024
3380 PADDOCK PKWY,300249119,6784749633,30024
1000 JOHNSON FERRY RD,303421606,4048518000,30342
214 MORRISON RD,335114849,8136816474,33511
119 OAKFIELD DR,335115779,8136815551,33511
3100 E FLETCHER AVE,336142630,8139716000,33614
2210 SUTHERLAND AVE,379192337,8.66E+12,37919
115 W SILVER ST,10853678,4135623444,10853
759 CHESTNUT ST,11071619,NA,11071
759 CHESTNUT ST,11991001,NA,11991
164 HIGH ST,13012613,NA,13012
233 CAREW ST,11042377,4137486910,11042
271 CAREW ST,11042377,4137489321,11042
2901 CORAL HILLS DR,330654146,9543450404,33065
155 5TH ST NE,442033332,NA,44203
525 E MARKET ST,443041619,NA,44304
1000 E 3RD ST,374032155,4236645165,37403
5 FRANKLIN AVE,71093521,9737513399,71093
5 FRANKLIN AVE,71093521,9737513399,71093
640 ULUKAHIKI ST,967344454,NA,96734
45-545 KAMEHAMEHA HWY,967441943,NA,96744
1301 PUNCHBOWL ST,968132402,NA,96813
500 ALA MOANA BLVD TOWER 5,968134920,NA,96813
5555 W THUNDERBIRD RD,853064622,NA,85306
18701 N 19TH AVE,853087100,NA,85308
10601 W SANTA FE DR,853513036,NA,85351
1301 WONDER WORLD DR,786667533,NA,78666
2965 NE CONNERS AVE,977017753,5417064800,97701
6345 SWAINLAND RD,946111843,5108741415,94611
2220 LYNN RD,913601957,8054951073,91360
2190 LYNN RD,913608026,8053704325,91360
5543 E CHERYL PKWY,537115376,6082745300,53711
20 S PARK ST,537151348,6082872076,53715
2310 DELANEY AVE,284036013,9107634511,28403
60 HOSPITAL RD,14532205,9784662257,14532
100 HOSPITAL RD,14532253,9784664220,14532
3831 HUGHES AVE,902326846,NA,90232
401 E CHESTNUT ST,402025703,5025896788,40202
100 WOODS RD,105951530,NA,10595
123 SUMMER ST,16081216,5083635000,16081
CALLE J-9 URB HNAS DAVILA,958,7876225420,958
13303 JAMAICA AVE,114182618,7182913276,11418
8900 VAN WYCK EXPY,114182832,NA,11418
8900 VAN WYCK EXPY,114182832,7182067001,11418
119 40 MEETROPOLITAN AVE,11415,7188490624,11415
101 THE CITY DR S,928683201,7144568068,92868
35 MILLBURY ST,15013203,5088329621,15013
366 SHREWSBURY ST,16044647,5085952700,16044
630 PLANTATION ST,16052038,5088520600,16052
5 NEPONSET ST,16062714,5085952300,16062
123 SUMMER ST,16081216,5083635000,16081
7700 UNIVERSITY DR,450692505,5132987325,45069
100 HIGH ST,142031126,7168595600,14203
1740 W 27TH ST,770081437,7139656444,77008
4609 FOREST PARK RD,750243906,NA,75024
700 LAWRENCE EXPY,950515173,4088511000,95051
710 LAWRENCE EXPRESS WAY,950515173,4088511000,95051
1750 E LAKE SHORE DR,625213806,NA,62521
1800 E LAKE SHORE DR,625213810,2174642966,62521
100 E LANCASTER AVE,190963435,6108960210,19096
8635 W 3RD ST,900486101,3109671884,90048
